rank,name,symbol,price,market_cap,volume_24h,timestamp
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,$,,,2025-04-06 09:52
,,,"$83,054.89",19.84M,,2025-04-06 09:53
,,,"$1,799.35",120.67M,,2025-04-06 09:53
,,,$0.9995,144.08B,,2025-04-06 09:53
,,,$2.09,58.27B,,2025-04-06 09:53
,,,$591.12,142.47M,,2025-04-06 09:53
,,,$119.06,514.58M,,2025-04-06 09:53
,,,$0.9999,60.52B,,2025-04-06 09:53
,,,$0.1650,148.73B,,2025-04-06 09:53
,,,$0.2375,94.98B,,2025-04-06 09:53
,,,$0.6383,35.27B,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,$,,,2025-04-06 09:53
,,,"$83,071.81",19.84M,,2025-04-06 09:54
,,,"$1,799.33",120.67M,,2025-04-06 09:54
,,,$0.9996,144.08B,,2025-04-06 09:54
,,,$2.08,58.27B,,2025-04-06 09:54
,,,$591.00,142.47M,,2025-04-06 09:54
,,,$119.06,514.58M,,2025-04-06 09:54
,,,$0.9999,60.52B,,2025-04-06 09:54
,,,$0.1650,148.73B,,2025-04-06 09:54
,,,$0.2375,94.98B,,2025-04-06 09:54
,,,$0.6383,35.27B,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,,,$,,,2025-04-06 09:54
,Bitcoin,,"$82,876.16",19.84M,$1.65T,2025-04-06 10:12
,Ethereum,,"$1,793.55",120.67M,$216.57B,2025-04-06 10:12
,Tether,,$0.9995,144.08B,$144.03B,2025-04-06 10:12
,XRP,,$2.09,58.27B,$121.94B,2025-04-06 10:12
,BNB,,$589.88,142.47M,$84.05B,2025-04-06 10:12
,Solana,,$119.20,514.58M,$61.34B,2025-04-06 10:12
,USDC,,$0.9998,60.52B,$60.52B,2025-04-06 10:12
,Dogecoin,,$0.1649,148.73B,$24.54B,2025-04-06 10:12
,TRON,,$0.2377,94.98B,$22.58B,2025-04-06 10:12
,Cardano,,$0.6387,35.27B,$22.53B,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,,,,,,2025-04-06 10:12
,Bitcoin,,"$82,876.16",19.84M,$1.65T,2025-04-06 10:13
,Ethereum,,"$1,793.55",120.67M,$216.57B,2025-04-06 10:13
,Tether,,$0.9995,144.08B,$144.03B,2025-04-06 10:13
,XRP,,$2.09,58.27B,$121.94B,2025-04-06 10:13
,BNB,,$589.88,142.47M,$84.05B,2025-04-06 10:13
,Solana,,$119.20,514.58M,$61.34B,2025-04-06 10:13
,USDC,,$0.9998,60.52B,$60.52B,2025-04-06 10:13
,Dogecoin,,$0.1649,148.73B,$24.54B,2025-04-06 10:13
,TRON,,$0.2377,94.98B,$22.58B,2025-04-06 10:13
,Cardano,,$0.6387,35.27B,$22.53B,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,,,,,,2025-04-06 10:13
,Bitcoin,,"$79,524.75",19.84M,$1.58T,2025-04-06 20:46
,Ethereum,,"$1,630.87",120.67M,$197.04B,2025-04-06 20:46
,Tether,,$0.9994,144.08B,$144B,2025-04-06 20:46
,XRP,,$2.00,58.27B,$116.86B,2025-04-06 20:46
,BNB,,$556.26,142.47M,$79.29B,2025-04-06 20:46
,USDC,,$0.9998,60.45B,$60.45B,2025-04-06 20:46
,Solana,,$108.87,514.58M,$56.03B,2025-04-06 20:46
,Dogecoin,,$0.1539,148.74B,$22.9B,2025-04-06 20:46
,TRON,,$0.2335,94.97B,$22.18B,2025-04-06 20:46
,Cardano,,$0.5934,35.27B,$20.93B,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,Bitcoin,,"$79,524.75",19.84M,$1.58T,2025-04-06 20:46
,Ethereum,,"$1,630.87",120.67M,$197.04B,2025-04-06 20:46
,Tether,,$0.9994,144.08B,$144B,2025-04-06 20:46
,XRP,,$2.00,58.27B,$116.86B,2025-04-06 20:46
,BNB,,$556.26,142.47M,$79.29B,2025-04-06 20:46
,USDC,,$0.9998,60.45B,$60.45B,2025-04-06 20:46
,Solana,,$108.87,514.58M,$56.03B,2025-04-06 20:46
,Dogecoin,,$0.1539,148.74B,$22.9B,2025-04-06 20:46
,TRON,,$0.2335,94.97B,$22.18B,2025-04-06 20:46
,Cardano,,$0.5934,35.27B,$20.93B,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
,,,,,,2025-04-06 20:46
